# {"t_start": 1654041887.2138119, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1190.087196,240,78.793217
-1034.558616,240,140.043301
-1048.465187,240,205.114498
-1070.43036,240,278.964632
-1142.904564,240,343.542227
-1104.3008,240,409.010794
-1108.949839,240,467.326315
-1119.465989,240,533.759705
-1139.996784,240,590.418696
-1067.186063,240,643.89534
-1085.635572,240,708.553183
-1116.194943,240,791.7717
-1108.547786,240,858.483525
-1113.899523,240,928.023993
