# {"t_start": 1654041887.245018, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1188.497564,240,78.758368
-1060.09358,240,140.157764
-1127.075677,240,205.028813
-1085.889558,240,279.031503
-1080.042525,240,343.486775
-1169.809465,240,409.004356
-1089.605811,240,467.476899
-1067.284176,240,533.799324
-1091.782088,240,590.379654
-1083.558894,240,643.809551
-1010.079186,240,708.537395
-1064.209551,240,791.79971
-1145.020508,240,858.463191
-1125.654161,240,927.984251
