# {"t_start": 1654041886.694466, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1136.176974,240,79.305731
-1037.003217,240,140.729746
-1085.641514,240,205.610128
-1076.013091,240,279.569031
-1009.787202,240,343.998234
-1054.922704,240,409.486961
-1099.546851,240,468.043239
-1039.939476,240,534.336648
-1061.01112,240,590.904331
-1075.440307,240,644.419484
-1101.357689,240,709.022554
-1163.961139,240,792.418696
-1086.568473,240,858.948611
-1051.715134,240,928.596678
