# {"t_start": 1654041886.950784, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1098.915251,240,78.950825
-1106.243049,240,140.455096
-1108.013718,240,205.43458
-1044.457993,240,279.311143
-1133.201493,240,343.860294
-1127.755878,240,409.265721
-1047.128778,240,467.702515
-1089.211134,240,534.011374
-1102.611602,240,590.68898
-1075.346758,240,644.063517
-1097.16038,240,708.788774
-1060.22243,240,792.083547
-1116.532194,240,858.739183
-1031.705707,240,928.324995
