# {"t_start": 1654041887.027909, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1073.830543,240,78.944008
-1126.786752,240,140.330533
-1075.825769,240,205.335355
-1153.280628,240,279.1944
-1062.086829,240,343.75874
-1062.547049,240,409.240117
-1079.453363,240,467.692578
-1153.194465,240,534.014314
-1066.148373,240,590.543342
-1156.09717,240,644.095568
-1097.540823,240,708.75808
-1153.397215,240,792.059223
-1065.885267,240,858.587037
-1169.169237,240,928.189497
