# {"t_start": 1654041887.400123, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1174.937867,240,78.605141
-1092.42899,240,140.004429
-1142.719016,240,204.996855
-1092.527707,240,278.862297
-1059.262063,240,343.414965
-1083.91942,240,408.875419
-1051.080398,240,467.284068
-1093.88165,240,533.583606
-1028.767476,240,590.239954
-1100.848515,240,643.673079
-1059.188715,240,708.312593
-1073.47698,240,791.66452
-1110.664818,240,858.295334
-1070.440544,240,927.80169
