# {"t_start": 1654041887.354128, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1133.49198,240,78.493712
-1081.015937,240,139.968183
-1051.724262,240,205.038282
-1118.452074,240,278.894198
-1097.344584,240,343.35971
-1116.36772,240,408.856472
-1059.489029,240,467.380884
-1132.572375,240,533.602223
-1090.331227,240,590.248943
-1140.299677,240,643.657276
-1065.044087,240,708.304341
-1112.589824,240,791.657215
-1075.426152,240,858.327078
-1188.441237,240,927.909664
