# {"t_start": 1654041886.9870138, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1079.973277,240,78.975007
-1012.623035,240,140.418651
-1144.193304,240,205.452123
-1097.755873,240,279.20518
-1032.689883,240,343.731832
-1005.923738,240,409.226094
-1110.331694,240,467.581796
-1050.477298,240,534.017692
-1127.744028,240,590.568985
-1132.695671,240,644.07832
-1175.802737,240,708.785928
-1192.607151,240,792.100355
-1181.426781,240,858.662139
-1118.465248,240,928.310527
