# {"t_start": 1654041887.152328, "env_id": "HumanoidSwimmerEnv-v1"} 
r,l,t
-1143.226865,240,78.702168
-1121.754377,240,140.230331
-1070.448829,240,205.205976
-1053.109784,240,279.035137
-1143.504393,240,343.633261
-1099.646377,240,409.093153
-1050.876499,240,467.553085
-1140.982169,240,533.834456
-1078.477574,240,590.42757
-1117.551111,240,643.876253
-1061.284142,240,708.578903
-1051.040902,240,791.825363
-1109.355656,240,858.502048
-1020.960513,240,928.076048
